;,dtype,vname_identifier,,,=,#=,~=,*=,/=,%=,MOD=,**=,&=,|=,^=,>>=,<<=,{,},loop,(,),if,else,elif,return,or,and,|,^,&,==,!=,is,<,<=,>,>=,~,#,>>,<<,*,**,/,MOD,%,~~,##,[,],int_lit,char_lit,bool_lit,str_lit,float_lit,$,S',S,stmt,decl,var_list,assign,loop_stmt,if_stmt,cond,elif_ladder,return_stmt,fname,func_defn,stmt_list,param_list,regular_param_list,reg_param,optional_param_list,optional_param,exp_list,func_call,arg_list,keyword_arg_list,exp,exp11,exp10,exp9,exp8,exp7,exp6,exp5,exp4,exp3,exp2,exp1,literal,tup_list,tuplistb,tuple_lit,list_lit,
x,s10,s12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,s13,s34,x,s18,x,x,s15,x,x,x,x,x,x,x,x,x,x,x,x,s28,s27,x,x,x,x,x,x,x,s29,s30,s42,x,s35,s36,s37,s38,s39,r3,x,1,2,5,11,4,6,16,9,x,8,x,3,x,x,x,x,x,x,x,33,x,x,7,14,17,19,20,21,22,23,24,25,26,31,32,x,x,40,41,
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,acc,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
x,s10,s12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,s13,s34,x,s18,x,x,s15,x,x,x,x,x,x,x,x,x,x,x,x,s28,s27,x,x,x,x,x,x,x,s29,s30,s42,x,s35,s36,s37,s38,s39,r3,x,43,2,5,11,4,6,16,9,x,8,x,3,x,x,x,x,x,x,x,33,x,x,7,14,17,19,20,21,22,23,24,25,26,31,32,x,x,40,41,
x,s10,s12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,s13,s34,x,s18,x,x,s15,x,x,x,x,x,x,x,x,x,x,x,x,s28,s27,x,x,x,x,x,x,x,s29,s30,s42,x,s35,s36,s37,s38,s39,r3,x,44,2,5,11,4,6,16,9,x,8,x,3,x,x,x,x,x,x,x,33,x,x,7,14,17,19,20,21,22,23,24,25,26,31,32,x,x,40,41,
s45,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
s46,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
x,r6,r6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,r6,r6,r6,x,r6,x,x,r6,x,x,x,x,x,x,x,x,x,x,x,x,r6,r6,x,x,x,x,x,x,x,r6,r6,r6,x,r6,r6,r6,r6,r6,r6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
s47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
x,r8,r8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,r8,r8,r8,x,r8,x,x,r8,x,x,x,x,x,x,x,x,x,x,x,x,r8,r8,x,x,x,x,x,x,x,r8,r8,r8,x,r8,r8,r8,r8,r8,r8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
x,r9,r9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,r9,r9,r9,x,r9,x,x,r9,x,x,x,x,x,x,x,x,x,x,x,x,r9,r9,x,x,x,x,x,x,x,r9,r9,r9,x,r9,r9,r9,r9,r9,r9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
